chris	克里斯
nick	尼克
harris	哈里斯
simon	西蒙
ian	伊恩
brown	布朗
jim	吉姆
kenny	肯尼
luigi	路易吉
evans	埃文斯
andy	安迪
juan	胡安
peter	彼得
smith	史密斯
ernst	恩斯特
hugh	休
gustavo	古斯塔沃
giuseppe	朱塞佩
dave	戴夫
ken	肯
anderson	安德森
ray	雷
patrick	帕特里克
lee	李
simpson	辛普森
billy	比利
friedrich	弗里德里希
gibson	吉布森
carter	卡特
ford	福特
wood	伍德
ted	泰德
edgar	埃德加
francesco	弗朗切斯科
heinz	海因茨
james	詹姆斯
mario	马里奥
harrison	哈里森
jens	延斯
claudio	克劳迪奥
benjamin	本杰明
morgan	摩根
dan	丹
jacques	雅克
heinrich	海因里希
jimmy	吉米
de	德
miller	米勒
abdullah	阿卜杜拉
abbas	阿巴斯
yves	伊夫
cox	考克斯
ramos	拉莫斯
moussa	穆萨
klein	克莱因
banks	班克斯
kirk	柯克
butler	巴特勒
hayden	海登
craig	克雷格
drew	德鲁
williamson	威廉森
sullivan	沙利文
hughes	休斯
larry	拉里
danny	丹尼
eugene	尤金
carlos	卡洛斯
anna	安娜
luca	卢卡
ali	阿里
natasha	娜塔莎
timothy	蒂莫西
sidney	西德尼
willis	威利斯
albrecht	阿尔布雷希特
stan	斯坦
dwight	德怀特
barbara	芭芭拉
stefan	斯特凡
gandhi	甘地
samir	萨米尔
brett	布雷特
damon	戴蒙
václav	瓦茨拉夫
chamberlain	张伯伦
clinton	克林顿
dietrich	迪特里希
federico	费德里科
irina	伊琳娜
clara	克拉拉
pedro	佩德罗
anton	安东
douglas	道格拉斯
perry	佩里
gabriel	加布里埃尔
gray	格雷
todd	托德
jan	扬
lucy	露西
warren	沃伦
hart	哈特
christian	克里斯蒂安
françois	弗朗索瓦
fox	福克斯
vicente	比森特
ward	沃德
mikhail	米哈伊尔
flores	弗洛雷斯
hopkins	霍普金斯
cruz	克鲁斯
day	戴
lincoln	林肯
eugène	欧仁
chapman	查普曼
pérez	佩雷斯
francisco	弗朗西斯科
page	佩奇
evan	埃文
barnes	巴恩斯
lambert	兰伯特
moritz	莫里茨
snow	斯诺
mcmahon	麥馬漢
clifford	克利福德
freeman	弗里曼
chuck	查克
charlotte	夏洛特
coleman	科尔曼
hicks	希克斯
schumacher	舒马赫
augusto	奥古斯托
clyde	克莱德
rupert	鲁伯特
chad	查德
sparks	斯帕克斯
donald	唐纳德
gordon	戈登
rossi	罗西
rachel	瑞秋
diana	戴安娜
enrico	恩里科
blair	布莱尔
moreno	莫雷诺
ivo	伊沃
wallace	华莱士
bailey	贝利
hall	霍尔
edwin	埃德温
walker	沃克
augustin	奥古斯丁
erich	埃里希
hussein	侯赛因
leonardo	莱昂纳多
mauro	毛罗
van	范
karel	卡雷尔
pavel	帕维尔
bertrand	贝特朗
ann	安
ronald	罗纳德
pierre	皮埃尔
ismail	伊斯梅尔
milan	米兰
zoran	佐兰
bradley	布拉德利
winston	温斯顿
schmidt	施密特
johnson	约翰逊
reed	里德
joachim	约阿希姆
jean	让
hamilton	汉密尔顿
lev	列夫
herbert	赫伯特
strauss	施特劳斯
étienne	艾蒂安
hendrik	亨德里克
sánchez	桑切斯
marcos	马科斯
fuller	富勒
pinto	平托
glenn	格伦
irene	艾琳
vanessa	凡妮莎
milton	米尔顿
swift	斯威夫特
massimo	马西莫
chase	蔡斯
pasha	帕夏
saul	索尔
fred	弗雷德
lópez	洛佩斯
hearst	赫斯特
armstrong	阿姆斯特朗
sandra	桑德拉
ilya	伊利亚
julian	朱利安
miranda	米蘭達
laurent	洛朗
bruno	布鲁诺
ferreira	費利拿
ben	本
barry	巴里
howard	霍华德
adams	亚当斯
ptolemy	托勒密
władysław	瓦迪斯瓦夫
fritz	弗里茨
sloan	斯隆
haas	哈斯
manny	曼尼
florian	弗洛里安
kate	凱特
adnan	阿德南
sepp	塞普
sterling	斯特林
casimir	卡西米尔
robbie	罗比
giacomo	贾科莫
reggie	雷吉
troy	特洛伊
